Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-01,1,C6320,PowerEdge C6320,1S45QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-02,2,C6320,PowerEdge C6320,1S47QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-03,3,C6320,PowerEdge C6320,1S46QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c10-04,4,C6320,PowerEdge C6320,1S44QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-01,1,C6320,PowerEdge C6320,1SC7QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-02,2,C6320,PowerEdge C6320,1SC8QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-03,3,C6320,PowerEdge C6320,1SC9QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c11-04,4,C6320,PowerEdge C6320,1SCBQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-01,1,C6320,PowerEdge C6320,1SCDQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-02,2,C6320,PowerEdge C6320,1SD4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-03,3,C6320,PowerEdge C6320,1SCCQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c12-04,4,C6320,PowerEdge C6320,1SD5QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c13-01,1,C6320,PowerEdge C6320,1S58QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c13-02,2,C6320,PowerEdge C6320,1S57QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c13-03,3,C6320,PowerEdge C6320,1S59QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c13-04,4,C6320,PowerEdge C6320,1S56QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c14-01,1,C6320,PowerEdge C6320,1S68QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c14-02,2,C6320,PowerEdge C6320,1S69QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c14-03,3,C6320,PowerEdge C6320,1S6BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U13,c14-04,4,C6320,PowerEdge C6320,1S6CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c15-01,1,C6320,PowerEdge C6320,1S94QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c15-02,2,C6320,PowerEdge C6320,1S8FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c15-03,3,C6320,PowerEdge C6320,1S95QD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U15,c15-04,4,C6320,PowerEdge C6320,1S8DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c16-01,1,C6320,PowerEdge C6320,1S5BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c16-02,2,C6320,PowerEdge C6320,1S5FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c16-03,3,C6320,PowerEdge C6320,1S5DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-001,Server,PowerEdge C6320 Server Node,Prince,dell,U17,c16-04,4,C6320,PowerEdge C6320,1S5CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c17-01,1,C6320,PowerEdge C6320,1SDBQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c17-02,2,C6320,PowerEdge C6320,1SDCQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c17-03,3,C6320,PowerEdge C6320,1SDDQD2,1/1/17,Compute Node,Production
South Data Center,12,K,24-009,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c17-04,4,C6320,PowerEdge C6320,1SF4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c18-01,1,C6320,PowerEdge C6320,1S79QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c18-02,2,C6320,PowerEdge C6320,1S77QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c18-03,3,C6320,PowerEdge C6320,1S76QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U1,c18-04,4,C6320,PowerEdge C6320,1S78QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c19-01,1,C6320,PowerEdge C6320,1SC4QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c19-02,2,C6320,PowerEdge C6320,1SBDQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c19-03,3,C6320,PowerEdge C6320,1SC5QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U3,c19-04,4,C6320,PowerEdge C6320,1SC6QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c20-01,1,C6320,PowerEdge C6320,1S4BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c20-02,2,C6320,PowerEdge C6320,1S4CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c20-03,3,C6320,PowerEdge C6320,1S49QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U5,c20-04,4,C6320,PowerEdge C6320,1S48QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c21-01,1,C6320,PowerEdge C6320,1S9DQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c21-02,2,C6320,PowerEdge C6320,1S9CQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c21-03,3,C6320,PowerEdge C6320,1S9FQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U9,c21-04,4,C6320,PowerEdge C6320,1S9BQD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c22-01,1,C6320,PowerEdge C6320,1S99QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c22-02,2,C6320,PowerEdge C6320,1S98QD2,1/1/17,Compute Node,Production
South Data Center,12,K,ww-001,Server,PowerEdge C6320 Server Node,Prince,dell,U11,c22-03,3,C6320,PowerEdge C6320,1S97QD2,1/1/17,Compute Node,Production
