Site,Floor,Row ,Cabinet,Type,Chassis ,Cluster,Hostgroup,RU,Hostname,Slot,Type,Model Name,Serial Number,Commission date,Description,Status
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-08,8,M620,PowerEdge M620,G8N2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c28-09,9,M620,PowerEdge M620,G8J1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-10,10,M620,PowerEdge M620,G8M2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-11,11,M620,PowerEdge M620,G8LY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-12,12,M620,PowerEdge M620,G8LZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-13,13,M620,PowerEdge M620,G8M4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-14,14,M620,PowerEdge M620,G8M1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-15,15,M620,PowerEdge M620,G8N3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-001,Server,PowerEdge M1000e,Prince,dell,U1,c29-16,16,M620,PowerEdge M620,G8N1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-01,1,M620,PowerEdge M620,G8P0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-02,2,M620,PowerEdge M620,G8Q1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-03,3,M620,PowerEdge M620,G8PZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-04,4,M620,PowerEdge M620,G8PY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-05,5,M620,PowerEdge M620,G8NW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-06,6,M620,PowerEdge M620,G8P3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-07,7,M620,PowerEdge M620,G8PX942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-08,8,M620,PowerEdge M620,G8Q0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-09,9,M620,PowerEdge M620,G8L1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-10,10,M620,PowerEdge M620,G8NZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-11,11,M620,PowerEdge M620,G8P2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-12,12,M620,PowerEdge M620,G8PW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-13,13,M620,PowerEdge M620,G8P1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-14,14,M620,PowerEdge M620,GYD1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-15,15,M620,PowerEdge M620,G8N4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U11,c30-16,16,M620,PowerEdge M620,G8P4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-01,1,M620,PowerEdge M620,G8KY942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-02,2,M620,PowerEdge M620,G8KW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-03,3,M620,PowerEdge M620,G8L4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-04,4,M620,PowerEdge M620,G8K3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-05,5,M620,PowerEdge M620,G8KZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-06,6,M620,PowerEdge M620,G8K2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-07,7,M620,PowerEdge M620,G8L0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-08,8,M620,PowerEdge M620,G8LW942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-09,9,M620,PowerEdge M620,G8K0B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-10,10,M620,PowerEdge M620,GYCZ942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-11,11,M620,PowerEdge M620,G8K1B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-12,12,M620,PowerEdge M620,G8NX942,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-13,13,M620,PowerEdge M620,G8L3B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-14,14,M620,PowerEdge M620,G8L2B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-15,15,M620,PowerEdge M620,G8K4B42,1/1/17,Compute Node,Production
South Data Center,12,E,12-002,Server,PowerEdge M1000e,Prince,dell,U1,c31-16,16,M620,PowerEdge M620,G8KX942,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-01 ,1,M620,PowerEdge M620,CK8P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-02,2,M620,PowerEdge M620,CK8N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-03,3,M620,PowerEdge M620,CK7P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-04,4,M620,PowerEdge M620,XXXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-05,5,M620,PowerEdge M620,CK8M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-06,6,M620,PowerEdge M620,CL9N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-07,7,M620,PowerEdge M620,CL9M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-08,8,M620,PowerEdge M620,XXXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-09,9,M620,PowerEdge M620,CL8N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-10,10,M620,PowerEdge M620,CL9P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-11,11,M620,PowerEdge M620,CJDM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-12,12,M620,PowerEdge M620,CJDP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-13,13,M620,PowerEdge M620,CJCP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-14,14,M620,PowerEdge M620,5D0N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-15,15,M620,PowerEdge M620,XXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U33,c32-16,16,M620,PowerEdge M620,CKGM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-01 ,1,M620,PowerEdge M620,CKHM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-02,2,M620,PowerEdge M620,CKHL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-03,3,M620,PowerEdge M620,CKGP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-04,4,M620,PowerEdge M620,CKGN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-05,5,M620,PowerEdge M620,78BFBZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-06,6,M620,PowerEdge M620,78CBBZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-07,7,M620,PowerEdge M620,78CCBZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-08,8,M620,PowerEdge M620,CJDN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-09,9,M620,PowerEdge M620,78BDBZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-10,10,M620,PowerEdge M620,CL6P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-11,11,M620,PowerEdge M620,CL6M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-12,12,M620,PowerEdge M620,CL7M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-13,13,M620,PowerEdge M620,CL6N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-14,14,M620,PowerEdge M620,CL7N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-15,15,M620,PowerEdge M620,CJ5N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U23,c33-16,16,M620,PowerEdge M620,CJ6M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-01,1,M620,PowerEdge M620,CJ5P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-02,2,M620,PowerEdge M620,CJ5M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-03,3,M620,PowerEdge M620,CJ4P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-04,4,M620,PowerEdge M620,CKVL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-05,5,M620,PowerEdge M620,CKWM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-06,6,M620,PowerEdge M620,CKWL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-07,7,M620,PowerEdge M620,CKVN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-08,8,M620,PowerEdge M620,CKVM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-09,9,M620,PowerEdge M620,CHQN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-10,10,M620,PowerEdge M620,CHRN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-11,11,M620,PowerEdge M620,CHRM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-12,12,M620,PowerEdge M620,XXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-13,13,M620,PowerEdge M620,CHQM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-14,14,M620,PowerEdge M620,CHZL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-15,15,M620,PowerEdge M620,CHYL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U11,c34-16,16,M620,PowerEdge M620,CHYM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-01,1,M620,PowerEdge M620,CHZM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-02,2,M620,PowerEdge M620,CHYN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-03,3,M620,PowerEdge M620,CJMP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-04,4,M620,PowerEdge M620,CJLP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-05,5,M620,PowerEdge M620,CJMN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-06,6,M620,PowerEdge M620,CJMM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-07,7,M620,PowerEdge M620,XXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-08,8,M620,PowerEdge M620,CJTM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-09,9,M620,PowerEdge M620,CJVL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-10,10,M620,PowerEdge M620,CJTN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-11,11,M620,PowerEdge M620,CJSN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-12,12,M620,PowerEdge M620,CJGN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-13,13,M620,PowerEdge M620,CJTL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-14,14,M620,PowerEdge M620,CJGM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-15,15,M620,PowerEdge M620,CJGP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-055,Server,PowerEdge M1000e,Prince,dell,U1,c39-16 ,16,M620,PowerEdge M620,XXXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-01,1,M620,PowerEdge M620,CKNN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-02,2,M620,PowerEdge M620,CJFP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-03,3,M620,PowerEdge M620,CKMP9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-04,4,M620,PowerEdge M620,CK0P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-05,5,M620,PowerEdge M620,CK1P9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-06,6,M620,PowerEdge M620,CK1M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-07,7,M620,PowerEdge M620,CKNL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-08,8,M620,PowerEdge M620,CKNM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-09,9,M620,PowerEdge M620,CKMN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-10,10,M620,PowerEdge M620,CK2M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-11,11,M620,PowerEdge M620,CK1N9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-12,12,M620,PowerEdge M620,695Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-13,13,M620,PowerEdge M620,697X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-14,14,M620,PowerEdge M620,690X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-15,15,M620,PowerEdge M620,690Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U1,c35-16,16,M620,PowerEdge M620,68WV8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-01,1,M620,PowerEdge M620,698Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-02,2,M620,PowerEdge M620,68VY8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-03,3,M620,PowerEdge M620,XXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-04,4,M620,PowerEdge M620,698W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-05,5,M620,PowerEdge M620,693W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-06,6,M620,PowerEdge M620,68WY8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-07,7,M620,PowerEdge M620,696X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-08,8,M620,PowerEdge M620,691Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-09,9,M620,PowerEdge M620,5CZN9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-10,10,M620,PowerEdge M620,5CZL9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-11,11,M620,PowerEdge M620,68WX8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-12,12,M620,PowerEdge M620,691W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-13,13,M620,PowerEdge M620,5D0M9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-14,14,M620,PowerEdge M620,5CZM9Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-15,15,M620,PowerEdge M620,68XX8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-056,Server,PowerEdge M1000e,Prince,dell,U11,c40-16,16,M620,PowerEdge M620,68WW8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-01,1,M620,PowerEdge M620,698X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-02,2,M620,PowerEdge M620,XXXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-03,3,M620,PowerEdge M620,693X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-04,4,M620,PowerEdge M620,696Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-05,5,M620,PowerEdge M620,696W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-06,6,M620,PowerEdge M620,697Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-07,7,M620,PowerEdge M620,68XV8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-08,8,M620,PowerEdge M620,692Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-09,9,M620,PowerEdge M620,692W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-10,10,M620,PowerEdge M620,68XY8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-11,11,M620,PowerEdge M620,68YV8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-12,12,M620,PowerEdge M620,68XW8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-13,13,M620,PowerEdge M620,692X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-14,14,M620,PowerEdge M620,699W8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-15,15,M620,PowerEdge M620,699X8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U33,c36-16,16,M620,PowerEdge M620,699Y8Z1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-01,1,M620,PowerEdge M620,FMM6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-02,2,M620,PowerEdge M620,FMQ7CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-03,3,M620,PowerEdge M620,FMQ6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-04,4,M620,PowerEdge M620,FMK6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-05,5,M620,PowerEdge M620,FMK5CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-06,6,M620,PowerEdge M620,XXXXX,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-07,7,M620,PowerEdge M620,FMP6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-08,8,M620,PowerEdge M620,FMJ7CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-09,9,M620,PowerEdge M620,FMM5CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-10,10,M620,PowerEdge M620,FMN7CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-11,11,M620,PowerEdge M620,FMJ5CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-12,12,M620,PowerEdge M620,FMJ6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-13,13,M620,PowerEdge M620,FMR6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-14,14,M620,PowerEdge M620,FMH6CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-15,15,M620,PowerEdge M620,FMK7CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U23,c37-16,16,M620,PowerEdge M620,FMH7CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U11,c38-01,1,M620,PowerEdge M620,4V65CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U11,c38-02,2,M620,PowerEdge M620,4V68CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U11,c38-03,3,M620,PowerEdge M620,4V85CZ1,1/1/17,Compute Node,Production
South Data Center,12,B,12-057,Server,PowerEdge M1000e,Prince,dell,U11,c38-04,4,M620,PowerEdge M620,4V66CZ1,1/1/17,Compute Node,Production
